Region,Year,Date,Price,Rent,price_growth,rent_growth,inventory_change,price_rent_ratio,RHFI,StateCode
10001,2015,2015-07-15 22:00:00.000000,2677021.5859446456,4016.4183723202045,0.008368709287532397,0.002351532133612897,-0.008368709287532397,666.5504654398534,233.2968991295548,NY
10001,2016,2016-07-15 20:00:00.000000,2840235.31794538,4037.6812642762256,0.00046935826936862307,-0.00040358406534228103,-0.00046935826936862307,703.5545091515058,246.24420869743514,NY
10001,2017,2017-07-15 22:00:00.000000,2915086.9328535763,3958.862936100346,0.0028944707189277144,-0.002260998970742556,-0.0028944707189277144,736.4498131360155,257.7582849096347,NY
10001,2018,2018-07-15 22:00:00.000000,2995874.196450883,4013.5456206361864,0.0014667261971319605,0.003859541628745272,-0.0014667261971319605,746.9103593935388,261.420057722853,NY
10001,2019,2019-07-15 22:00:00.000000,2899635.2424044586,4162.573522724109,-0.012914293571508315,0.00231516568675579,0.012914293571508315,697.287177735857,244.0451638085801,NY
10001,2020,2020-07-15 20:00:00.000000,2220823.324325229,3843.850088429974,-0.01556832575785048,-0.016332537599456392,0.01556832575785048,579.7333529857877,202.89640129091478,NY
10001,2021,2021-07-15 22:00:00.000000,1968670.2135640616,4052.870910073565,-0.009765919542442936,0.025001306944069452,0.009765919542442936,494.1880522123807,172.96642387192793,NY
10001,2022,2022-07-15 22:00:00.000000,1965143.8132084478,4828.473535137353,0.0007258219890520501,0.0033750780494512154,-0.0007258219890520501,407.1959967475693,142.51960049715422,NY
10001,2023,2023-07-15 22:00:00.000000,1802436.9604911392,4935.450139082438,-0.00706655115846148,0.002170828460131271,0.00706655115846148,365.6156002164641,127.96271429343314,NY
10001,2024,2024-07-15 20:00:00.000000,1734270.3260507816,5085.817989559156,-0.0005136497149805334,0.003617701035946987,0.0005136497149805334,341.16728804210896,119.40904321257358,NY
10001,2025,2025-07-15 22:00:00.000000,1709031.9502155827,5329.23649973704,-0.001899928726001791,0.0034950463854234726,0.001899928726001791,320.92662028301817,112.32416114040673,NY
10001,2026,2026-02-14 00:00:00.000000,1714675.9964524298,5358.08258718606,0.00814000786169633,0.009369660702881144,-0.00814000786169633,320.0266769253178,112.01487385953958,NY
10002,2015,2015-07-15 22:00:00.000000,843253.0710270196,3141.169619575818,0.002771848036114003,0.0004324433772906385,-0.002771848036114003,268.52914418894244,93.98653428642157,NY
10002,2016,2016-07-15 20:00:00.000000,885623.5650088395,3193.802850339534,0.0033726172668566055,0.0013552678388768873,-0.0033726172668566055,277.3533068180041,97.07544611763929,NY
10002,2017,2017-07-15 22:00:00.000000,949391.2392772497,3239.3388047618555,0.002929374370479012,0.0004774113078237681,-0.002929374370479012,293.07956782013395,102.57926243777516,NY
10002,2018,2018-07-15 22:00:00.000000,1003303.3615761106,3306.070327378937,0.010644305765630505,0.0030256155420516537,-0.010644305765630505,303.43976165071615,106.2093116384536,NY
10002,2019,2019-07-15 22:00:00.000000,1058762.6307823479,3393.819003018261,0.0014997166978636862,0.0027348721616401637,-0.0014997166978636862,312.0341385529529,109.21317034047988,NY
10002,2020,2020-07-15 20:00:00.000000,1100705.027405158,3188.601585855893,0.005375876960522839,-0.017694505895494168,-0.005375876960522839,348.04899413428603,121.81602819045324,NY
10002,2021,2021-07-15 22:00:00.000000,1163241.301026078,3223.8278215851965,-0.003928109591048705,0.023947183519705557,0.003928109591048705,365.9864215061125,128.09826931452736,NY
10002,2022,2022-07-15 22:00:00.000000,1146113.922785581,3896.345115226842,-0.0009943356520301188,0.005272025366855393,0.0009943356520301188,294.2971941012209,103.00462488945728,NY
10002,2023,2023-07-15 22:00:00.000000,1044426.0525314774,3958.5964772750635,-0.006687109294654464,-0.00013268853868234065,0.006687109294654464,263.96331152195245,92.38412329579302,NY
10002,2024,2024-07-15 20:00:00.000000,980545.5763338985,4030.1528387469093,-0.0008455367872479228,0.0026517148464275386,0.0008455367872479228,243.41793236736297,85.19642617999205,NY
10002,2025,2025-07-15 22:00:00.000000,987613.9134804789,4253.148732908859,0.0003008623180332977,0.007150349919944454,-0.0003008623180332977,232.44193495923983,81.35624269376103,NY
10002,2026,2026-02-14 00:00:00.000000,998032.9014632842,4335.6438279050435,0.002977600330637986,-0.0005814997495406371,-0.002977600330637986,230.19249735396073,80.56859769408513,NY
10003,2015,2015-07-15 22:00:00.000000,1535921.6690626433,3302.8868438502177,0.004486976155436047,0.0022378404986869624,-0.004486976155436047,465.087634525785,162.7831387913944,NY
10003,2016,2016-07-15 20:00:00.000000,1643952.316224726,3362.9149941417577,0.004343157719855717,0.00039853229274847135,-0.004343157719855717,488.889491391813,171.113356114567,NY
10003,2017,2017-07-15 22:00:00.000000,1654224.187399079,3390.2489083078344,-0.005092182342355034,0.0007439600773209246,0.005092182342355034,488.0125756400521,170.80225878397962,NY
10003,2018,2018-07-15 22:00:00.000000,1664720.19192807,3445.071036126765,0.0071857307287213805,0.0030777249659843333,-0.0071857307287213805,483.1172538198714,169.09488796077608,NY
10003,2019,2019-07-15 22:00:00.000000,1569673.6269465059,3535.3484700161457,-0.009068347582178301,0.002340011786966615,0.009068347582178301,444.36640122400314,155.5246276743465,NY
10003,2020,2020-07-15 20:00:00.000000,1527043.5370371249,3320.352365606003,0.002918572878851037,-0.017483556805658534,-0.002918572878851037,463.31543814713154,162.1582199979304,NY
10003,2021,2021-07-15 22:00:00.000000,1598064.2336674193,3369.485458173911,0.0002710380371978016,0.023647336977355837,-0.0002710380371978016,479.4492952163261,167.81210476022633,NY
10003,2022,2022-07-15 22:00:00.000000,1660591.34413331,4123.628837159701,-0.002058598063967234,0.007118985467772741,0.002058598063967234,402.88009335702844,141.0085301029247,NY
10003,2023,2023-07-15 22:00:00.000000,1337154.933952608,4260.273038324535,-0.01734093326799842,0.0013006859370036372,0.01734093326799842,314.1122120042375,109.93173091869991,NY
10003,2024,2024-07-15 20:00:00.000000,1265396.4654587756,4398.544553158103,0.002053643636859328,0.0036189977613300486,-0.002053643636859328,287.8094411442924,100.73495233969119,NY
10003,2025,2025-07-15 22:00:00.000000,1293725.3804889212,4701.728240215968,0.001670865262292015,0.0073310080405624605,-0.001670865262292015,275.54742111069555,96.44381547971958,NY
10003,2026,2026-02-14 00:00:00.000000,1340066.8132305264,4815.705117519343,0.013736666375002371,0.006640732691447659,-0.013736666375002371,278.2708001637991,97.40228970373671,NY
10004,2017,2017-07-15 22:00:00.000000,1720238.057699183,3239.5641022305476,0.001091343372541076,-0.002152399808346158,-0.001091343372541076,531.0758554501971,185.87661003212494,NY
10004,2018,2018-07-15 22:00:00.000000,1621348.3390972288,3269.8065298697106,-0.012963110619385107,0.0016117312918406956,0.012963110619385107,496.19832710541976,173.66390343337656,NY
10004,2019,2019-07-15 22:00:00.000000,1378033.8730592802,3391.2631770418643,-0.005630449271177664,0.0038435255481755284,0.005630449271177664,406.7182614517646,142.3496265110552,NY
10004,2020,2020-07-15 20:00:00.000000,1333377.9415933785,3111.571898655873,-0.00328225551154282,-0.02034074726200984,0.00328225551154282,431.63469448737374,151.06659790614822,NY
10004,2021,2021-07-15 22:00:00.000000,1281127.2408961256,3207.4756590506913,-0.0025712846537329728,0.02765276677658875,0.0025712846537329728,406.49883323824673,142.27896510864747,NY
10004,2022,2022-07-15 22:00:00.000000,1210143.9276510014,3952.272856586289,-0.007956558576818326,0.00348543289812094,0.007956558576818326,306.6160894803856,107.312747953355,NY
10004,2023,2023-07-15 22:00:00.000000,1108593.300052555,4029.42038174763,-0.005672371446895567,0.003719890950655854,0.005672371446895567,275.5924409381552,96.45554573939336,NY
10004,2024,2024-07-15 20:00:00.000000,1094515.4546288343,4222.131768272337,0.003456090234924806,0.004797309332414411,-0.003456090234924806,259.4984743468796,90.82698072388006,NY
10004,2025,2025-07-15 22:00:00.000000,1135943.7874880116,4425.665049805487,0.0022841663621358346,0.005261505703744322,-0.0022841663621358346,256.8661293818234,89.90522545964188,NY
10004,2026,2026-02-14 00:00:00.000000,1174952.9915859383,4512.528690665653,0.00936177225439716,0.008397984403493486,-0.00936177225439716,260.3743583880939,91.13691783022804,NY
10005,2015,2015-07-15 22:00:00.000000,1467841.4808930987,3381.426294908732,0.004745808036657899,-0.00024808985331727557,-0.004745808036657899,434.1994939345577,151.97190887274104,NY
10005,2016,2016-07-15 20:00:00.000000,1537620.9950346164,3385.5702609696345,0.0015428698350599772,-2.8738517719543537e-05,-0.0015428698350599772,454.30750615774895,159.00831569893435,NY
10005,2017,2017-07-15 22:00:00.000000,1542035.0219314855,3364.3278775443637,-0.0025096723321199796,0.0009569918155660218,0.0025096723321199796,458.55724532568297,160.49409790980266,NY
10005,2018,2018-07-15 22:00:00.000000,1444173.025071715,3473.727709373534,-0.00563016510363798,0.004770442776920486,0.00563016510363798,416.27628953887205,145.69512185286393,NY
10005,2019,2019-07-15 22:00:00.000000,1332145.1734675406,3582.5202293353063,-0.007104347983223948,0.0010452773340130321,0.007104347983223948,372.02068809256394,130.2042529312717,NY
10005,2020,2020-07-15 20:00:00.000000,1215929.2303860004,3415.763445568487,-0.006855267890031279,-0.011243470387574969,0.006855267890031279,357.4331181615378,125.09625779191018,NY
10005,2021,2021-07-15 22:00:00.000000,1167360.276557851,3460.7710020462623,-0.0005758368303341496,0.017415394741767825,0.0005758368303341496,339.5330788990962,118.83980156705837,NY
10005,2022,2022-07-15 22:00:00.000000,1181642.6573354022,4134.630133282993,-0.0007687618580178394,0.006425033895195646,0.0007687618580178394,285.93379621749926,100.07776774006767,NY
10005,2023,2023-07-15 22:00:00.000000,1115293.8479705642,4253.5639692488885,-0.007094088354810281,0.0037734541908810704,0.007094088354810281,262.45698137828174,91.85750583347712,NY
10005,2024,2024-07-15 20:00:00.000000,1070484.1890878666,4381.3198870907645,0.001815941507920582,0.002159887815643524,-0.001815941507920582,244.3969161428853,85.54016980125152,NY
10005,2025,2025-07-15 22:00:00.000000,1088851.8948014893,4541.0140955151755,-0.0006592294796830545,0.002967813554160333,0.0006592294796830545,239.823657596084,83.93857706807437,NY
10005,2026,2026-02-14 00:00:00.000000,1096108.6754703973,4638.396367865344,0.007030843329555614,0.012037525644099878,-0.007030843329555614,236.31980171034934,82.71750198324938,NY
10006,2020,2020-09-14 21:00:00.000000,1195161.2535573172,2936.9380622261183,-0.007113192008409222,-0.026034607066766968,0.007113192008409222,408.81589665430454,143.07715597118943,NY
10006,2021,2021-07-15 22:00:00.000000,1164722.3963506834,3045.7807344981425,0.0020325212668761417,0.02344960301638463,-0.0020325212668761417,386.62289188209996,135.32361671390834,NY
10006,2022,2022-07-15 22:00:00.000000,1198049.287257696,3734.117935448968,-0.0008884110070693322,0.006589705541811828,0.0008884110070693322,321.23689355532866,112.43383090052022,NY
10006,2023,2023-07-15 22:00:00.000000,1127474.8228329308,3845.068962009948,-0.007275250507974072,0.002326205722197235,0.007275250507974072,293.66818333193856,102.78105554459434,NY
10006,2024,2024-07-15 20:00:00.000000,1090071.2632586295,3991.898277712366,0.00016335903339989577,0.002208603300366818,-0.00016335903339989577,273.18910290097637,95.61670124756684,NY
10006,2025,2025-07-15 22:00:00.000000,1040858.3429240765,4114.37725642311,-0.0033021273669114337,0.0056451368165173765,0.0033021273669114337,253.17702561371456,88.61160203484829,NY
10006,2026,2026-02-14 00:00:00.000000,1047441.9838203514,4244.191739330805,0.0022557916251503274,0.0019343563560664245,-0.0022557916251503274,246.80366215464142,86.38268373162703,NY
10007,2017,2017-07-15 22:00:00.000000,3233980.383423185,4876.495485240673,-0.007065744727005968,-8.573173261437288e-05,0.007065744727005968,663.3233706276525,232.15998298820466,NY
10007,2018,2018-07-15 22:00:00.000000,3007252.560251932,4938.232301139449,-0.0014063753748340864,0.0012970512026376224,0.0014063753748340864,609.5896760265049,213.35601315059856,NY
10007,2019,2019-07-15 22:00:00.000000,3034616.076874438,5170.2160171938995,0.0002148715884016846,0.003976564343971885,-0.0002148715884016846,587.2068444082922,205.52328754798586,NY
10007,2020,2020-07-15 20:00:00.000000,2825251.931724539,4948.386735497225,-0.007688980705226871,-0.011098084415013643,0.007688980705226871,572.123229164174,200.23745054926053,NY
10007,2021,2021-07-15 22:00:00.000000,2811490.6225261074,5162.693674826524,0.007022597963618861,0.02158860640430582,-0.007022597963618861,548.9889121698418,192.15359714980912,NY
10007,2022,2022-07-15 22:00:00.000000,3097756.12742609,5960.141812981242,0.0038895631700481084,0.0035993957168132806,-0.0038895631700481084,519.9469651579835,181.98390798786411,NY
10007,2023,2023-07-15 22:00:00.000000,3068352.7140670004,6244.496243363897,-0.004949450128249655,0.0025384338888296645,0.004949450128249655,491.647667620271,172.0749641013149,NY
10007,2024,2024-07-15 20:00:00.000000,2951632.8604264683,6528.967379968767,0.0004539346850055322,0.005085909929101943,-0.0004539346850055322,452.4302882637565,158.3518223449088,NY
10007,2025,2025-07-15 22:00:00.000000,3010259.0180383488,7010.136776726209,0.002420662466060708,0.004516984408546217,-0.002420662466060708,430.07466995908044,150.52812718066957,NY
10007,2026,2026-02-14 00:00:00.000000,3096563.8816490117,7068.60537344471,0.010464908356378144,0.018382214332060887,-0.010464908356378144,438.0902527921004,153.3399741288619,NY
10009,2015,2015-07-15 22:00:00.000000,668498.4410334937,2920.1433710532947,0.007339759106446668,0.001856255910137411,-0.007339759106446668,228.94485716232498,80.13437414959367,NY
10009,2016,2016-07-15 20:00:00.000000,734342.5736046536,2984.6942257028954,0.005590148072692193,0.0011029474552383494,-0.005590148072692193,246.05551688609606,86.12216706625739,NY
10009,2017,2017-07-15 22:00:00.000000,758287.0977612509,3021.32295144948,0.0001822824762976738,3.809819788093879e-05,-0.0001822824762976738,251.05951880094983,87.87092122708636,NY
10009,2018,2018-07-15 22:00:00.000000,806392.409857767,3065.7782564287604,0.006707465250965022,0.002512439320075425,-0.006707465250965022,263.0195927877665,92.06037832294521,NY
10009,2019,2019-07-15 22:00:00.000000,812001.8357983297,3153.085249036057,0.0022983428700609674,0.002683171637158107,-0.0022983428700609674,257.60654216850327,90.1638606475951,NY
10009,2020,2020-06-27 12:00:00.000000,854066.6679848873,3017.6877033699648,0.0038884506233889506,-0.020688573508819162,-0.0038884506233889506,285.35587493391125,99.87216831494769,NY
10009,2021,2021-07-15 22:00:00.000000,885890.1897259612,2988.394969916415,0.004779676525279821,0.025153181323032976,-0.004779676525279821,299.7653611773679,104.92505790277974,NY
10009,2022,2022-07-15 22:00:00.000000,1055698.2019086697,3671.1469484081663,0.012110659456367476,0.006934823261605549,-0.012110659456367476,287.58365130968394,100.66111471979707,NY
10009,2023,2023-07-15 22:00:00.000000,978785.3435313356,3793.735654209106,-0.011617774847433834,0.001731245761224881,0.011617774847433834,258.3300791924632,90.410645967833,NY
10009,2024,2024-07-15 20:00:00.000000,920039.1197522366,3880.5761541429783,0.0013696448325784354,0.002002343942968693,-0.0013696448325784354,237.2130550721812,83.02558608422667,NY
10009,2025,2025-07-15 22:00:00.000000,962713.2675261154,4148.861920351312,0.003951534998060539,0.008407892907529765,-0.003951534998060539,232.3367092669713,81.3213080127706,NY
10009,2026,2026-02-14 00:00:00.000000,997673.9067986306,4234.486359885086,0.007488865348592055,-0.000574002152400499,-0.007488865348592055,235.60615984267292,82.4654111339119,NY
10010,2015,2015-07-15 22:00:00.000000,1456078.3870403294,3603.906374480706,0.005059254336551365,0.0016684789605218113,-0.005059254336551365,404.1309661462231,141.44844851142162,NY
10010,2016,2016-07-15 20:00:00.000000,1527166.304081697,3656.8258195375674,0.0015726801175880896,0.0007632300973529349,-0.0015726801175880896,417.70917697834767,146.19907229449404,NY
10010,2017,2017-07-15 22:00:00.000000,1571302.331641882,3664.196385121643,0.0019716783382716283,-0.0009034864654493824,-0.0019716783382716283,428.8850471102017,150.1104730465297,NY
10010,2018,2018-07-15 22:00:00.000000,1646059.0390304492,3693.856636419121,0.007168756803968899,0.0033855531527479574,-0.007168756803968899,445.5925336224209,155.96128981903965,NY
10010,2019,2019-07-15 22:00:00.000000,1601814.1603560562,3790.0883451939303,-0.005741633610810611,0.001558467339817506,0.005741633610810611,422.83197833948793,147.98892037716385,NY
10010,2020,2020-07-15 20:00:00.000000,1536616.143578944,3521.990289193298,-0.002464307606978411,-0.016812975644624157,0.002464307606978411,438.5294859821982,153.4808485602173,NY
10010,2021,2021-07-15 22:00:00.000000,1482590.9912846808,3586.114904426076,-0.0070145283430050704,0.023182679273118918,0.0070145283430050704,418.5748541900259,146.50267896460932,NY
10010,2022,2022-07-15 22:00:00.000000,1477516.6081317782,4322.931665962367,-0.0005051518415048842,0.007786006908192746,0.0005051518415048842,342.1690207832628,119.76048715719494,NY
10010,2023,2023-07-15 22:00:00.000000,1303083.9265081792,4484.789618183747,-0.00903983642267984,0.0006939516606808785,0.00903983642267984,290.7327249096626,101.75252458232382,NY
10010,2024,2024-07-15 20:00:00.000000,1252926.4915576328,4632.042003479011,0.000713632720458777,0.003270476385204696,-0.000713632720458777,270.5687402753827,94.70003432638521,NY
10010,2025,2025-07-15 22:00:00.000000,1269352.6493772366,4893.9793604582765,0.00013624163427888858,0.005698851534470778,-0.00013624163427888858,259.5938088983117,90.85903419345141,NY
10010,2026,2026-02-14 00:00:00.000000,1287156.6170013444,4959.689073964435,0.006850663225754006,0.0005380218466486397,-0.006850663225754006,259.52249770021956,90.83606459789776,NY
10011,2015,2015-07-15 22:00:00.000000,2056920.0649376072,3673.2474958714315,0.00333394740980734,0.0030885673378614567,-0.00333394740980734,560.0193124594778,196.00887735061917,NY
10011,2016,2016-07-15 20:00:00.000000,2192709.1019091397,3727.5539483196185,0.004068258967101862,-0.0016135417619755805,-0.004068258967101862,588.2714018901753,205.89649866974412,NY
10011,2017,2017-07-15 22:00:00.000000,2189204.176811279,3733.0356893819867,-0.0040044348266082734,0.0008503465007133707,0.0040044348266082734,586.521597141414,205.28092707312305,NY
10011,2018,2018-07-15 22:00:00.000000,2217880.446535788,3799.573779961467,0.0065225541152723705,0.002356248450893874,-0.0065225541152723705,583.660194350401,204.28447442168235,NY
10011,2019,2019-07-15 22:00:00.000000,2046877.8519553328,3889.7504072967477,-0.011535353080112007,0.0015895217153207668,0.011535353080112007,526.5462831792764,184.28632610820375,NY
10011,2020,2020-07-03 14:24:00.000000,1948648.7447645601,3686.311125889127,-0.0019843481279796294,-0.016487000993907708,0.0019843481279796294,531.4238275803634,185.9941492962708,NY
10011,2021,2021-07-15 22:00:00.000000,1974264.2982540953,3758.6310545295055,0.0012689548975340914,0.02155624833511775,-0.0012689548975340914,529.2941799918082,185.25784527650376,NY
10011,2022,2022-07-15 22:00:00.000000,2084033.3248858752,4510.268225463826,-0.0003263459523907923,0.007393257673189833,0.0003263459523907923,462.3783990142165,161.8337714508318,NY
10011,2023,2023-07-15 22:00:00.000000,1680060.5776676268,4669.940285658885,-0.019918923536410876,0.0017194747991402155,0.019918923536410876,360.18550438361626,126.05630691363412,NY
10011,2024,2024-07-15 20:00:00.000000,1515035.2812536585,4870.833077855055,-2.89751999880683e-05,0.00259225740948818,2.89751999880683e-05,311.1487747078601,108.90257656039294,NY
10011,2025,2025-07-15 22:00:00.000000,1543775.462367323,5213.954614124882,0.00110357872118159,0.007596362998767703,-0.00110357872118159,296.59060375696055,103.80872719796047,NY
10011,2026,2026-02-14 00:00:00.000000,1583893.4325050116,5270.250084893576,0.010323666218864491,0.0015666100991212906,-0.010323666218864491,300.5332285972562,105.19158898085797,NY
10012,2015,2015-07-15 22:00:00.000000,3194343.4525997513,3274.8298109732,0.0062306760252036535,0.0036086189711389736,-0.0062306760252036535,975.4578460204731,341.41377163517114,NY
10012,2016,2016-07-15 20:00:00.000000,3464429.7624041443,3328.4402109462058,0.005129074584610223,-0.001148296325466212,-0.005129074584610223,1040.9193251691788,364.32384223351056,NY
